Album Name,Artists,Martyrdom Anniversary,Islamic Date,Notes
قصة الكاظم,صالح_الدرازي\n\nموكب,,1420 هـ,موكب ماتم بن سلوم المركزي في العاصمة المنامة - في ذكرى اسشتهاد الامام موسى الكاظم ليلة 25 رجب  - 1420 هـ
حتى أتاك اليقين,"سيد_هاني_الوداعي\n#أحمد_قربان, الشيخ_حسين_الأكرف\n\nماتم",ذكرى استشهاد الامام علي (ع)  ليلة 22 رمضان 1430 هـ\n\nالهندسة الصوتية : محسن الدقاق,1430 هـ,ماتم الامام علي (ع) - قرية ابو قوة - في ذكرى استشهاد الامام علي (ع)  ليلة 22 رمضان 1430 هـ\n\nالهندسة الصوتية : محسن الدقاق
ظلموها,صالح_الدرازي\n\nماتم,,1427 هـ,ماتم الامام علي (ع) - قرية ابو قوة - في ذكرى تسقيط الزهراء(ع)  - 1427 هـ\n\nالهندسة الصوتية : محسن الدقاق
قصيدة الدموع,صالح_الدرازي\n\nماتم,,1431 هـ,ماتم الحاج حسن العالي - قرية عالي - في ليلة الثاني من محرم - 1431 هـ\nالهندسة الصوتية : سيد محمد الشهركاني
حسينيون في اخلاقنا,صالح_الدرازي\n\nاستشهاد,استشهاد السيدة زينب سلام الله عليها  - 1431 هـ\nموكب ماتم الحاج عباس,1431 هـ,موكب ماتم الحاج عباس
دعوات العالم للامام القائم,"مهدي_سهوان, يوسف_الرومي\n#سيد_ابراهيم_الستري\n\nشهادة",,1430 هـ,موكب بن سلوم المركزي في العاصمة المنامة
قل لموسى,"مهدي_سهوان, صالح_الشيخ\n\nمسجد",استشهاد الامام موسى الكاظم {ع} 1432 هـ\nالهندسة الصوتية : محسن الدقاق,1432 هـ,مسجد فاطمة الزهراء - مدينة الزهراء\nاستشهاد الامام موسى الكاظم {ع} 1432 هـ\nالهندسة الصوتية : محسن الدقاق
يا أمة الاسلام هلي,عبد_الأمير_البلادي,استشهاد الامام علي (ع) \nليلة 20 رمضان 1426 هـ\nموكب ماتم بن سلوم - المنامة,1426 هـ,موكب ماتم بن سلوم - المنامة
آه ويلاه إنا لله,الشيخ_حسين_الأكرف,ذكرى استشهاد الأمام الحسن العسكري (ع)\nليلة 9 ربيع الاول 1425 هـ\nموكب صدد المركزي (10)\n\nكاسيت,1425 هـ,موكب صدد المركزي (10)\n\nكاسيت
الوحي كبر,صالح_الدرازي\n\nموكب,ذكرى استشهاد الرسول الاعظم النبي محمد (ص)  - 1432 هـ,1432 هـ,موكب ماتم بن سلوم في ذكرى استشهاد الرسول الاعظم النبي محمد (ص)  - 1432 هـ
حديث الباب,"علي_حمادي, صالح_الدرازي\n\nماتم",استشهاد الزهراء (ع) - 1425 هـ,1425 هـ,ماتم الامام علي - ابو قوة في استشهاد الزهراء (ع) - 1425 هـ
أذن الشوق,صالح_الدرازي\nليلة,,1431 هـ,موكب النعيم \n\nالهندسة الصوتية : سيد محمد الشهركاني
ضمايا نحن يا كرار,"صالح_الدرازي, جعفر_القشعمي, عبدالله_الحمدة\n\nموكب",استشهاد الامام علي (ع) ليلة 21 رمضان - 1421 هـ,1421 هـ,موكب النعيم في استشهاد الامام علي (ع) ليلة 21 رمضان - 1421 هـ
صوت مصاب صوت بكاء,"علي_حمادي, عبد_الأمير_البلادي",استشهاد النبي محمد (ص) و ابنته الزهراء (ع) - 1428 هـ,1428 هـ,
,الشيخ_حسين_الأكرف\n\nإصدار,,1443 هـ,
,الشيخ_حسين_الأكرف\n\nإصدار,,1444 هـ,
اظهر يا مهدي اظهر,صالح_الدرازي\n\nموكب,ذكرى استشهاد الامام الجواد (ع) - 1417 هـ 1997م,1417 هـ,موكب ماتم بن سلوم المركزي - المنامة                                                                                   \nفي ذكرى استشهاد الامام الجواد (ع) - 1417 هـ 1997م
احمل سيفك يا شيخ الأنصار,صالح_الدرازي\n\nموكب,ذكرى استشهاد حبيب ابن مضاهر الاسدي - ليلة 6 محرم 1421 هـ,1421 هـ,موكب النعيم\nفي ذكرى استشهاد حبيب ابن مضاهر الاسدي - ليلة 6 محرم 1421 هـ
,,,,
,,,,
,,,,
مكتبة العزاء البحراني,],,,
,,,,
